original_name,geojson_name
Czechia,Czech Republic
United States Of America,United States of America
United Kingdom of Great Britain and Northern Ireland,United Kingdom
Republic of Korea,South Korea
Viet Nam,Vietnam
Bolivia (Plurinational State of),Bolivia
Iran (Islamic Republic of),Iran
Lao People's Democratic Republic,Laos
Macao Special Administrative Region of China,Macao
"Venezuela, Bolivarian Republic Of",Venezuela
Russian Federation,Russia
Bahamas,The Bahamas
"Korea, Republic Of",South Korea
Tuvalu,Tuvalu
North Macedonia,Macedonia
"Czech Republic (Czechia)",Czech Republic
"Sint Maarten (Dutch Part)",Sint Maarten
"Sao Tome And Principe",Sao Tome and Principe
"Cook Islands",Cook Islands
"Curaçao",Curacao
"Timor-Leste",East Timor
"Guadeloupe",Guadeloupe
"Serbia And Montenegro",Republic of Serbia
"State Of Palestine",West Bank
"Grenada",Grenada
"Moldova, Republic Of",Moldova
"Seychelles",Seychelles
"Barbados",Barbados
"Bolivia, Plurinational State Of",Bolivia
"Guinea-Bissau",Guinea Bissau
"Lao People´S Democratic Republic",Laos
"Cote D´Ivoire",Ivory Coast
"Dominica",Dominica
"Palau",Palau
"Singapore:",Singapore
"Trinidad And Tobago",Trinidad and Tobago
"Syrian Arab Republic",Syria
"Saba",Saba
"Taiwan Province Of China",Taiwan
"Mauritius",Mauritius
"Northern Mariana Islands",Northern Mariana Islands
"Bonaire",Bonaire
"American Samoa",American Samoa
"Cayman Islands",Cayman Islands
"Congo",Republic of the Congo
"United States Virgin Islands",United States Virgin Islands
"Nauru",Nauru
"Eswatini",Swaziland
"Comoros",Comoros
"Korea, Democratic People´S Republic Of",North Korea
"Macao, China",Macao
"Reunion",Reunion
"Congo, Democratic Republic Of The",Democratic Republic of the Congo
"Cabo Verde",Cape Verde
"Tanzania, United Republic Of",United Republic of Tanzania
"Brunei Darussalam",Brunei
"Iran, Islamic Republic Of",Iran
"San Marino",San Marino
"Liechtenstein",Liechtenstein
"Kiribati",Kiribati
"Turks And Caicos Islands",Turks and Caicos Islands
"British Virgin Islands",British Virgin Islands
"Bosnia And Herzegovina",Bosnia and Herzegovina
"Martinique",Martinique
"Serbia",Republic of Serbia
"Tonga",Tonga
"Hong Kong, China",Hong Kong
"Antigua And Barbuda",Antigua and Barbuda
"Türkiye",Turkey
"Andorra",Andorra
"Guam",Guam
"Niue",Niue
"Anguilla",Anguilla
"Saint Vincent And The Grenadines",Saint Vincent and the Grenadines
"Maldives",Maldives
"Sint Eustatius",Sint Eustatius
"Marshall Islands",Marshall Islands
"Montserrat",Montserrat
"Saba",Saba
"Saint Kitts and Nevis",Saint Kitts and Nevis
"Cook Islands",Cook Islands
"Cape Verde",Cape Verde
"Marshall Islands",Marshall Islands
"United States Virgin Islands",United States Virgin Islands
"Reunion",Reunion
"Guam",Guam
"Saint Lucia",Saint Lucia
"Turks and Caicos Islands",Turks and Caicos Islands
"Mauritius",Mauritius
"Aruba",Aruba
"Comoros",Comoros
"Anguilla",Anguilla
"Antigua and Barbuda",Antigua and Barbuda
"Sint Maarten",Sint Maarten
"Micronesia",Micronesia
"Sao Tome and Principe",Sao Tome and Principe
"Liechtenstein",Liechtenstein
"Seychelles",Seychelles
"British Virgin Islands",British Virgin Islands
"Singapore",Singapore
"Hong Kong",Hong Kong
"Monaco",Monaco
"Tuvalu",Tuvalu
"American Samoa",American Samoa
"French Polynesia",French Polynesia
"Saint Vincent and the Grenadines",Saint Vincent and the Grenadines
"Samoa",Samoa
"Grenada",Grenada
"Cayman Islands",Cayman Islands
"Bahrain",Bahrain
"Nauru",Nauru
"Kiribati",Kiribati
"Guadeloupe",Guadeloupe
"Niue",Niue
"Martinique",Martinique
"Dominica",Dominica
"San Marino",San Marino
"Maldives",Maldives
"Bonaire",Bonaire
"Curacao",Curacao
"Andorra",Andorra
"Sint Eustatius",Sint Eustatius
"Tonga",Tonga
"Barbados",Barbados
"Northern Mariana Islands",Northern Mariana Islands
"Macao",Macao
"Palau",Palau
